Hospital_Name,City,State,Specialty,Expected_Budget_INR_Lakhs
Rk Medicals & General Stores,Adavivaram,Andhra Pradesh,Medical Center,467.94
Sarada Home Care Services ????,Adavivaram,Andhra Pradesh,Home health care service,114.91
Cancer Surgeon | Dr Palavalasa Niranjan,Adavivaram,Andhra Pradesh,Cancer treatment center,2903.67
Primary Health Care Centre(Government),Adavivaram,Andhra Pradesh,Hospital,1380.55
Dr. Anuradha,Adavivaram,Andhra Pradesh,Doctor,77.7
Exult Breast Clinics,Madhuravada,Andhra Pradesh,Plastic surgeon,222.43
Sri Venkateswara Enclaves,Madhuravada,Andhra Pradesh,Apartment building,137.54
Online Ravi,3.0,"block no-48, gf-2, rajeev gruha kalpa, marikavalasa rd, near govt hospital and water tank",+91 76749 73265,50.77
Venu Abode,Madhuravada,Andhra Pradesh,Apartment building,73.86
Sai Skanda Vinayagar Residency,"sound&sound, Bakkanapalem",Andhra Pradesh,Apartment building,94.93
Ashwin Medical Center,Madhuravada,Andhra Pradesh,Diagnostic centre,257.01
Varahi Clinics,Endada,Andhra Pradesh,Clinic,48.08
Dr. Satya'S Liver & Gastro Centre,Potinamallayyapalem,Andhra Pradesh,Gastroenterologist,163.96
Lifecare Lab And Clinics,Endada,Andhra Pradesh,Diagnostic centre,126.25
Chaitanya Dental Clinic,Potinamallayyapalem,Andhra Pradesh,Dental clinic,118.23
Health Care Clinics,Endada,Andhra Pradesh,Physiotherapist,17.0
Sri Sai Smile Care Dental And Medical,Potinamallayyapalem,Andhra Pradesh,Dental clinic,148.5
Yugendar Pattipati,Madhuravada,Andhra Pradesh,Psychologist,225.52
Leos Dental Care Yendada,Endada,Andhra Pradesh,Dental clinic,85.1
Keshav'S Life Care,Adavivaram,Andhra Pradesh,Clinic,97.82
Simhachalam Devasthanam Goshala,Adavivaram,Andhra Pradesh,Animal shelter,44.5
Chandana Clinic,Adavivaram,Andhra Pradesh,Clinic,52.15
Dr. Mantha'S Dental Clinic,Pataparadesipalem,Andhra Pradesh,Dental clinic,129.03
Sri Sai Sanjana Medicals & Generals,Madhuravada,Andhra Pradesh,Medical Center,203.27
John Septic Tank Cleaning Services,Kommadi,Andhra Pradesh,Septic system service,237.63
Sri Lakshmi Ganapati Swamy Temple,"Kommadi, Visakhapatnam",Andhra Pradesh,Hindu temple,287.81
Sun Imaging & Diagnostics,Potinamallayyapalem,Andhra Pradesh,Medical diagnostic imaging center,137.11
Gitam Institute Of Nursing,Endada,Andhra Pradesh,University,238.86
Dr. Yedla Dileep Raja,Madhuravada,Andhra Pradesh,Hospital,544.44
Dr.Rajeshwar Ram (Bvsc N Ah),Potinamallayyapalem,Andhra Pradesh,Hospital,909.99
Mount Meru Medicals And Surgicals,"Madhuravada, Potinamallayyapalem",Andhra Pradesh,Wholesaler,298.0
Azmal Orthopaedic Clinic,Potinamallayyapalem,Andhra Pradesh,Orthopedic surgeon,137.93
Cure Physiotherapy Clinic,Potinamallayyapalem,Andhra Pradesh,Physical therapy clinic,48.46
Mahatma Gandhi Cancer Hospital & Research Institute,Visakhapatnam,Andhra Pradesh,Hospital,1911.71
Kims Hospitals Speciality Clinics - Mvp Colony,Visakhapatnam,Andhra Pradesh,Hospital,1147.77
Sri Surya Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1519.54
Sri Mithra Critical Care Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1491.01
Arjun Prasad Hospital,Visakhapatnam,Andhra Pradesh,Hospital,628.54
Supriya Multispeciality Pet Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1427.92
Gvk Prime Clinic'S,Visakhapatnam,Andhra Pradesh,Medical Center,409.12
Om Hospital Is A Leading Best De-Addiction Centre | Best Psychiatry Hospitals In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Hospital,1569.66
Sri Ram Multicare Hospital,Visakhapatnam,Andhra Pradesh,Hospital,623.06
Kims Icon Institute Of Gastroenterology,Visakhapatnam,Andhra Pradesh,Hospital,731.33
Travancore Ayurveda Nabh Panchakarma Clinic | Mvp Colony | Vizag,Visakhapatnam,Andhra Pradesh,Ayurvedic clinic,61.26
Srinivas Pulse Medical Center,Visakhapatnam,Andhra Pradesh,Diagnostic center,204.81
Lalit Health Care - Poly Clinic - Day Care - Pharmacy - Lab,Visakhapatnam,Andhra Pradesh,Medical Center,382.84
Vijaya Clinic And Diagnostics Center In Mvp ,"1-83-18/2/1,plot no.103/3, opp. sivarama sweets, sector 3, mvp double rd",Visakhapatnam,+91 91541 66701,115.5
Sri Krishna Multi Speciality Clinic,Visakhapatnam,Andhra Pradesh,Medical clinic,48.11
Suraksha Dental Park | Best Dental Clinic In Vizag | Best Dental Clinic In Mvp,Visakhapatnam,Andhra Pradesh,Dental clinic,20.68
Veera Clinic - A Unit Of Veera Hospital/ Dr Ooha,"1-113-40/1/1, beside kalyani grand",Visakhapatnam,+91 88850 41424,113.23
Care Hospitals,"care hospitals healthcity, plot no : 3, near sai baba temple",Visakhapatnam,+91 40 6810 6589,127.18
Sai Sathya Hospital,Visakhapatnam,Andhra Pradesh,Hospital,904.65
Apollo Prohealth - Health City,6.0,"srl no, 78p & 76",https://www.apollohospitals.com/,65.78
2050 Healthcare - Best Home Healthcare Services In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Home health care service,80.6
Nan,Visakhapatnam,Andhra Pradesh,Hospital,1173.27
Department Of Rheumatology | Apollo Hospitals Health City Unit,Visakhapatnam,Andhra Pradesh,Hospital,1332.11
Dr Vamseedhar Nephrology Vizag,Visakhapatnam,Andhra Pradesh,Nephrologist,99.37
Department Of Urology | Apollo Hospitals Health City Unit,Visakhapatnam,Andhra Pradesh,Hospital,539.39
Best General Physician - Dr. Anitha Kolukula,apollo hospitals health city unit health city,Visakhapatnam,+91 80 6904 9772,125.56
Best Rheumatologist - Dr. Kumar | Apollo Hospitals | Visakhapatnam,Visakhapatnam,Andhra Pradesh,Rheumatologist,55.13
Best Gastroenterologist - Dr. Varun | 6+ Yrs Of Exp. | Visakhapatnam,Visakhapatnam,Andhra Pradesh,Hospital,1397.07
Best Internist - Dr. Harika | 8+ Yrs Of Exp. | Visakhapatnam,Visakhapatnam,Andhra Pradesh,Hospital,986.65
Dr. S. S. R. Murthy Homeopathy Clinic,Visakhapatnam,Andhra Pradesh,Medical clinic,95.49
Department Of Radiation Oncology | Apollo Hospitals Health City Unit,Visakhapatnam,Andhra Pradesh,Hospital,937.77
Dr P.Venkata Sudhakar Ms Ortho (Aiims),"care hospitals healthcity, near sai baba marg",Visakhapatnam,+91 83746 62225,134.71
Department Of Psychiatry | Apollo Hospitals Health City Unit,Visakhapatnam,Andhra Pradesh,Hospital,627.05
Department Of Obstetrics & Gynaecology | Apollo Hospitals Health City Unit,Visakhapatnam,Andhra Pradesh,Hospital,1851.7
Department Of Gastroenterology/Gi Medicine | Apollo Hospitals Health City Unit,Visakhapatnam,Andhra Pradesh,Hospital,1857.81
Dr K Sridhar Srinivasan General Physician,Visakhapatnam,Andhra Pradesh,Medical clinic,196.29
Dr. P.V.V.N.M.Kumar Kumar | Paediatric Heart Specialist In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Cardiologist,127.23
Dr. Ananda Kumar Mahapatra - Best Neurosurgeon In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Neurosurgeon,75.79
Best Nephrologist - Dr. Anil | 9+ Yrs Of Exp. | Visakhapatnam,Visakhapatnam,Andhra Pradesh,Hospital,1071.1
Apollo Diagnostics - Blood Tests - Home Collection & Full Body Checkups Visakhapatnam,Visakhapatnam,Andhra Pradesh,Diagnostic center,76.1
Dr Koppolu Bhargavi,apollo hospitals health city unit health city,Visakhapatnam,+91 80 6904 9772,111.31
Department Of Surgical Gastroenterology | Apollo Hospitals Health City Unit,Visakhapatnam,Andhra Pradesh,Hospital,1239.69
Dr. Venkateshwar Rao K - Best Pulmonologist In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Pulmonologist,32.91
Department Of Urology | Apollo Hospitals Health City Unit,Visakhapatnam,Andhra Pradesh,Urologist,92.37
Dr. G. Satyanarayana,Visakhapatnam,Andhra Pradesh,Gastroenterologist,90.27
Dr. Ramya Varada,Visakhapatnam,Andhra Pradesh,Endocrinologist,82.95
Sai Varsha Medical Center,Visakhapatnam,Andhra Pradesh,Medical Center,84.61
Dr. Abdul D Khan,apollo hospitals health city unit health city,Visakhapatnam,+91 80 6904 9772,97.96
Dr T Anusha - Best General Practitioner In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,General practitioner,27.26
Dr Rajesh Poosarla,Visakhapatnam,Andhra Pradesh,Vascular surgeon,198.76
Dr. P Satya Vamsheedhar - Best Nephrologist In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Nephrologist,130.95
Dr. N Naidu Chitikela,apollo hospitals health city unit health city,Visakhapatnam,+91 80 6904 9772,82.8
Dr. P.S. Vamseedhar - Consultant Nephrologist & Transplant Physician In Vizag,"Chinagadhili, Visakhapatnam",Andhra Pradesh,Nephrologist,48.19
Dr. Bb Das Surgical,"VISHAKAPATNAM, Visakhapatnam",Andhra Pradesh,Gastrointestinal surgeon,112.26
Best Neonatal Doctor - Dr Satish | 18+ Yrs Of Exp. | Visakhapatnam,Visakhapatnam,Andhra Pradesh,Neonatal physician,286.18
Apollo Vaccinations Center,Visakhapatnam,Andhra Pradesh,Hospital department,119.7
Dr. Moumita Bag,Visakhapatnam,Andhra Pradesh,Gynecologist,100.62
Vaarahi Old Age And Retirement Homes - Best Oldage Homes In Arilova,"backside care hospital health city, 13-718",Visakhapatnam,+91 95532 20412,247.1
Apollo Cancer Center,Visakhapatnam,Andhra Pradesh,Hospital,994.31
Dr. Baruah D K - Best Cardiologist In Visakhapatnam| Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Cardiologist,86.91
Dr. C.V. Rao | Best Cardiologist In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Cardiologist,168.63
Best Oncologist - Dr. Rakesh Boya | 6+ Yrs Of Exp. | Visakhapatnam,Visakhapatnam,Andhra Pradesh,Oncologist,263.47
Dr. Pydi Venu Madhavi | Best Pediatric Endocrinologist In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Endocrinologist,146.65
Apollo Pharmacy Apollo Hospitals Arilova Op,Visakhapatnam,Andhra Pradesh,Pharmacy,19.53
Arilova Vizag,Visakhapatnam,Andhra Pradesh,Housing complex,116.58
Dr. Prabhakar Rao | Leading General Physician In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Internal medicine ward,285.77
Gowthami Medical Center,Visakhapatnam,Andhra Pradesh,Medical Center,140.38
Dr. Aishwarya Malladi,apollo hospitals health city unit health city,Visakhapatnam,+91 80 6904 9772,114.83
Dr. Gandham Anil Kumar | Interventional Pulmonologist In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Pulmonologist,145.57
Dr. M Madhusudhana Babu - Best Neurologist In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Neurologist,175.15
Dr. Ventrapati Pradeep - Best Medical Oncologist In Vizag | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Oncologist,115.78
Dr. D. Naveen Kumar,5.0,21.0,IN,217.64
Dr. Suman Das- Best Radiation Oncologist In Vizag | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Oncologist,167.66
Dr. Rakesh Dubba | Best Electrophysiologist In Vizag | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Cardiologist,127.9
Dr. B Murali Krishna | Best Orthopaedician In Visakhapatnam | Fracture | Sports Injury | Back Pain,Visakhapatnam,Andhra Pradesh,Hospital,863.64
Dr. Rakesh Reddy Boya - Best Medical Oncologist & Hameo-Oncologist In Vizag | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Oncologist,137.77
Dr Yeshwanth Reddy J - Best Pediatrician In Vizag At Rainbow Children'S Hospital Health City,Visakhapatnam,Andhra Pradesh,Pediatrician,101.65
Dr.Shashanka Chunduri-Best Cardiology Doctor Near Me | Cardiac Tamponade | Dilated Cardiomyopathy | 11+ Yrs. Of Exp.,Visakhapatnam,Andhra Pradesh,Hospital,1089.4
Dr. G Narasimha Reddy | Best Urology Specialist In Arilova Vizag | Care Hospital Arilova,Visakhapatnam,Andhra Pradesh,Urologist,42.65
Care Hospital : Dr. Anirban Deb,"1st floor ,room number b-6, care hospitals healthcity, near sai baba marg",Visakhapatnam,+91 40 6810 6585,182.24
Dr. Sumanth Simha Vankineni-Consult With Best Gastroenterologist Doctor Near Me | Blood In Stools | 4+ Yrs. Of Exp.,Visakhapatnam,Andhra Pradesh,Hospital,1388.34
Dr.Chakradhar Pedada- Best Cardiology Doctor Near Me | Cardiac Tamponade | Dilated Cardiomyopathy | 2+ Yrs. Of Exp.,Visakhapatnam,Andhra Pradesh,Hospital,1318.44
Praja Vaidhyasala,Visakhapatnam,Andhra Pradesh,Hospital,1522.57
Apollo 24||7 Doctor Tele-Consult Near Me || Pedagadili_Arilova || Visakhapatnam,Visakhapatnam,Andhra Pradesh,General practitioner,48.51
Dr Ramesh Babu Mutiki@ Neurologist: Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Neurologist,172.72
Dr. Sandeep Kumar Sahu M.B.B.S. Dnb(Surgery) Fmas.,"health city, care hospitals, health city, plot no. 03",Visakhapatnam,+91 90521 27404,154.64
Dr. S Anil Kumar Patro - Best Nephrologist In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Nephrologist,150.42
Dr. G.S.R. Murthy | Top Cardiologist In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Cardiologist,104.54
Dr. M V Kiran Kumar - Best Neurosurgeon In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Neurosurgeon,108.66
Best Oncologist - Dr Sunita | 18+ Yrs Of Exp. | Visakhapatnam,Visakhapatnam,Andhra Pradesh,Oncologist,220.14
Dr. Satheesh Babu B - Best Gastroenterologist In Visakhapatnam| Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Gastrointestinal surgeon,251.12
Dr. Pyla Sai Sekhar | Leading General Physician In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Internal medicine ward,244.83
Dr. Mgv Aditya | Best Neurologist Doctor In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Neurologist,88.42
Dr. Pradeep Kumar Palakonda - Best Ent Specialist In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Otolaryngologist,164.81
Best Neurologist - Dr. Rajesh | 6+ Yrs Of Exp. | Visakhapatnam,Visakhapatnam,Andhra Pradesh,Neurologist,123.17
Dr. M Ganesh Kumar,apollo hospitals health city unit health city,Visakhapatnam,+91 80 6904 9772,95.35
Dr. N. V. S. Mohan | Top Neurosurgeon In Vizag Arilova | Care Hospitals Vizag Arilova,Visakhapatnam,Andhra Pradesh,Neurosurgeon,207.84
Dr. Afroz Farooqi - Best Vascular Surgeon In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Cardiovascular and thoracic surgeon,223.11
Dr. Y Sree Harsha - Best Pediatrician In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Pediatrician,98.91
Dr. Aditya Narayan - Best Radiation Oncologist In Vizag | Apollo Hospitals Visakhapatnam | 22+ Years Of Exp,Visakhapatnam,Andhra Pradesh,Oncologist,59.23
Vasudev Comforts & Lodge,Visakhapatnam,Andhra Pradesh,Lodge,297.49
Dr. Krishnam Raju Penmatsa,Visakhapatnam,Andhra Pradesh,Nephrologist,111.47
Dr. Ravi Chandra Vattipalli,Visakhapatnam,Andhra Pradesh,Orthopedic surgeon,118.18
Dr. Terapalli Vijay Kumar | Top Neurosurgeon In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Neurosurgeon,166.79
Dr. K Prasob Kumar,apollo hospitals health city unit health city,Visakhapatnam,+91 80 4696 1837,278.51
Department Of Oral & Maxillofacial Surgery | Apollo Hospitals Health City Unit,Visakhapatnam,Andhra Pradesh,Hospital,1537.56
Dr. P. Raju Naidu | Best Orthopaedic Specialist In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Orthopedic surgeon,149.6
G.S.N . Pet Clinic,Visakhapatnam,Andhra Pradesh,Veterinarian,243.49
Dr. Viswateja Chitturi,Visakhapatnam,Andhra Pradesh,Pediatrician,55.95
Dr. Naveen Palla-Consult With Best Orthopaedics Doctor Near Me | Carpal Tunnel Syndrome | Cerebral Palsy | 11+ Yrs. Of Exp.,Visakhapatnam,Andhra Pradesh,Hospital,1843.25
Best Surgical Oncologist - Dr. Ramesh | 8+ Yrs Of Exp. | Visakhapatnam,Visakhapatnam,Andhra Pradesh,Surgical oncologist,174.96
Dr. Vasundhara Padma S N L - Best Nutritionist In Visakhapatanam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Nutritionist,202.31
Pathology Consultation Service -Dr Sunita Samleti,"apollo hospitals, health city",Visakhapatnam,Pathologist,52.95
Best Psychiatrist - Dr. Srinivas | 21+ Yrs Of Exp. | Visakhapatnam,Visakhapatnam,Andhra Pradesh,Psychiatrist,80.36
Dr. Metta Jayachandra Reddy,Visakhapatnam,Andhra Pradesh,Oncologist,210.98
Dr. T. Sameer Nandan Loving Sai Clinic,Visakhapatnam,Andhra Pradesh,Medical clinic,90.35
Sri Health Care Clinics,Visakhapatnam,Andhra Pradesh,Medical clinic,139.99
Daya Hospital Neuro Care,Visakhapatnam,Andhra Pradesh,Neurosurgeon,41.96
Daya Neurophysio And Rehabilitation Services,Visakhapatnam,Andhra Pradesh,Hospital,1975.41
Department Of Oral & Maxillofacial Surgery | Apollo Hospitals Health City Unit,Visakhapatnam,Andhra Pradesh,Oral and maxillofacial surgeon,212.92
Best Cardiothoracic And Vascular Surgeon - Dr. Sujit Kumar Mohanty,apollo hospitals health city unit health city,Visakhapatnam,+91 80 4696 1837,137.9
Dr L Vijay - Cardio Thoracic Surgeon,Visakhapatnam,Andhra Pradesh,Cardiovascular and thoracic surgeon,233.22
Dr. Syed Moeed Zafer,q868+hr2 apollo hospitals health city unit health city,Visakhapatnam,+91 80 4696 1837,290.74
Dr. Boddepalli Satheesh Babu-Consult With Best Surgical Gastroenterology Doctor Near Me | 20+ Yrs. Of Exp.,Visakhapatnam,Andhra Pradesh,Gastrointestinal surgeon,146.22
Dr. B. Murali Mohan | Top Urologist Doctor In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Urologist,26.63
Dr. Attada Prudhvi Raj | Top Cardiologist Doctor In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Cardiologist,73.99
Dr. Sunita G - Best Plastic Surgeon In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Plastic surgeon,167.88
Dr. V K Vidyakar Veeramallu,Visakhapatnam,Andhra Pradesh,Urologist,105.41
Dr Penta Radha Krishna Prasad - Best Plastic Surgeon In Visakhapatnam | Apollo Hospitals,Visakhapatnam,Andhra Pradesh,Plastic surgeon,186.74
Dr. Nanda Kishore Panigrahi - Top Cardiologist In Visakhapatnam | Cardiologist Doctor,Visakhapatnam,Andhra Pradesh,Cardiologist,127.79
Dr. Sandeep Talari | Top Neurosurgeon In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Neurosurgeon,150.36
Dr. Yugandhar Sarma Oncologist,Visakhapatnam,Andhra Pradesh,Oncologist,141.69
Dr. Sasibhushana Rao.S-Consult With Best Orthopaedics Doctor Near Me | Carpal Tunnel Syndrome | 14+ Yrs. Of Exp.,Visakhapatnam,Andhra Pradesh,Hospital,1658.51
Dr. A. V. Venugopal | Top Nephrologist Doctor In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Nephrologist,130.06
Dr. Ganguri Kishore Babu | Best Neurologist Doctor In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Neurologist,102.57
Dr. Ishaq Mohammad,apollo hospitals health city unit health city,Visakhapatnam,+91 80 4696 1837,123.14
Dr. Pentapati Chaitanya | Top Ent Specialist In Arilova | Care Hospitals Arilova Vizag,Visakhapatnam,Andhra Pradesh,Otolaryngologist,36.63
Apollo Hospital Emergency Centre - Mvp Colony,Visakhapatnam,Andhra Pradesh,Hospital,656.82
Mgr Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1123.96
Waltair Multicare Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1942.59
First Choice Clinics,Visakhapatnam,Andhra Pradesh,Specialized clinic,61.34
Western Clinics,Visakhapatnam,Andhra Pradesh,Medical clinic,189.91
Kims - Icon Hospital,Visakhapatnam,Andhra Pradesh,Hospital,712.51
Best Radiation Oncologist - Dr. Abhilash Gavarraju,apollo hospitals health city unit health city,Visakhapatnam,+91 80 4696 1837,114.21
Best Plastic Surgeon - Dr. Radha Krishna | 30+ Yrs Of Exp. | Visakhapatnam,Visakhapatnam,Andhra Pradesh,Plastic surgeon,152.94
Best Dentist - Dr. Suman | 14+ Yrs Of Exp. | Visakhapatnam,Visakhapatnam,Andhra Pradesh,Hospital,810.3
Dr. A Praveen,apollo hospitals health city unit health city,Visakhapatnam,+91 80 4696 1837,160.39
Dr. Prasad G - Best Nephrologist In Visakhapatnam,Visakhapatnam,Andhra Pradesh,Nephrologist,110.95
Sudhir Self Drive Cars Vizag,Visakhapatnam,Andhra Pradesh,Car leasing service,148.3
Dr. Sushma Jonnalagadda | Best Obstetrician And Gynecologist In Arilova | Care Hospitals Arilova,Visakhapatnam,Andhra Pradesh,Gynecologist,110.58
Dr. Nikhil ,apollo hospitals health city unit health city,Visakhapatnam,+91 80 4696 1837,116.11
Best Psychiatrist - Dr. Susmitha Gajula,apollo hospitals health city unit health city,Visakhapatnam,+91 80 6904 9772,111.07
Dr. Raghu Yelavarthi,Visakhapatnam,Andhra Pradesh,Orthopedic surgeon,208.24
Sr Homes And Hospitality,Visakhapatnam,Andhra Pradesh,Hotel,61.07
Dr. P.R.K Prasad,Visakhapatnam,Andhra Pradesh,Plastic surgeon,259.28
Sachivalayam 14,Visakhapatnam,Andhra Pradesh,Government office,204.95
Best Neurologist - Dr. Madhusudhana ,health city,Visakhapatnam,+91 80 6904 9772,212.83
Best Cardiologist - Dr. A. Suresh,apollo hospitals health city unit health city,Visakhapatnam,+91 80 4696 1837,74.38
Sri Ramesh Medical And General Stores,Visakhapatnam,Andhra Pradesh,Medical Center,492.76
Anaya Medical Centre (Dr E Haritha.Dmrd.Dnb) Best Scan Centre,Visakhapatnam,Andhra Pradesh,Diagnostic center,103.42
Dr.Meghanath Yenni Md;Dnb,Visakhapatnam,Andhra Pradesh,Specialized clinic,77.1
Dr V Ram Narashimam Hospital,Visakhapatnam,Andhra Pradesh,Hospital,740.2
Dr M V E Rama Naidu,"smart health clinic, opposite kalyani mess, beside kims institute of gastoenterology",Visakhapatnam,+91 81423 40040,181.16
Sri Physiotherapy Clinic (Mvp Colony),Visakhapatnam,Andhra Pradesh,Physical therapy clinic,96.68
Srs Ortho - Best Orthopedic Doctor In Vizag | Best Orthopedic Specialists In Vizag | Best Joint Replacement,Visakhapatnam,Andhra Pradesh,Hospital,847.78
Prohealth Clinics,Visakhapatnam,Andhra Pradesh,Medical clinic,98.86
Dr. N.Siva Prakash,Visakhapatnam,Andhra Pradesh,Medical clinic,61.36
Dr. G. Mohana Preethi (Eye Clinic),Visakhapatnam,Andhra Pradesh,Ophthalmology clinic,202.93
Rcd Rani Chandramani Devi Government Hospital,Visakhapatnam,Andhra Pradesh,Government hospital,818.56
Wellness Elite Clinics,Visakhapatnam,Andhra Pradesh,Orthopedic surgeon,36.42
Sanghamitra Institute Of Gastroenterology & Hepatology,Visakhapatnam,Andhra Pradesh,Hospital,1421.16
Dr Praveen Sodavarapu - Advanced Bone And Joint Care,Visakhapatnam,Andhra Pradesh,Orthopedic clinic,83.28
United Home Health Care,Visakhapatnam,Andhra Pradesh,Diagnostic center,193.97
Government Tb And Chest Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1083.25
Cghs Wellness Centre,Visakhapatnam,Andhra Pradesh,Hospital,1557.1
Dr. Pradeep Vundavalli - S.S. Ent Clinic,Visakhapatnam,Andhra Pradesh,Medical clinic,64.98
Medsure Medicals,Visakhapatnam,Andhra Pradesh,Medical Center,388.55
Vijaya Medical Centre,Visakhapatnam,Andhra Pradesh,Diagnostic center,250.27
Medicover - Best Cancer Hospital In Vizag,Visakhapatnam,Andhra Pradesh,Hospital,593.85
Mb Hospitals - Dr.K.Vishnu Prasad | Specialist In Orthopedics,"plot:15b, apiic health city",Visakhapatnam,+91 63019 91460,57.47
Varma Hospitals,Visakhapatnam,Andhra Pradesh,Heart hospital,5423.91
Rainbow Children'S Hospital - Best Pediatric Hospital In Health City,"plot no.15a, survey no.21 & 27 health city, chinnagadili",Visakhapatnam,+91 80 3783 6553,80.48
Navya Green Hills Hospital,Visakhapatnam,Andhra Pradesh,Hospital,988.98
Birthright Fertility By Rainbow Hospitals | Best Ivf Centre At Health City,Visakhapatnam,Andhra Pradesh,Fertility clinic,226.42
Sri Sai Manikanta Parlour,Visakhapatnam,Andhra Pradesh,Restaurant,100.84
Arilova,Visakhapatnam,Andhra Pradesh,Hospital,1793.95
Sanjivi Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1291.57
Vizag Pain Clinic,Visakhapatnam,Andhra Pradesh,Hospital,1458.66
Parinitha Children And Ent Hospital,Visakhapatnam,Andhra Pradesh,Hospital,1395.46
Sree Padmanabha Kerala Ayurvedic Centre,Visakhapatnam,Andhra Pradesh,Ayurvedic clinic,54.74
Dr. M Prasada Rao,Visakhapatnam,Andhra Pradesh,Urologist,115.99
Sri Himaharshini Medicals,"4-62-7/9, post office rd, near baba bazar",Visakhapatnam,+91 85400 50162,123.94
Dr Surya Prakash D,Visakhapatnam,Andhra Pradesh,Doctor,86.1
Sri Satya Dental Hospital | Best Dental Clinic In Vizag,"plot no mig - 198/4. d.no. 1-90-9/1, above skin studio, near girijan bhavan",Visakhapatnam,+91 63022 54317,196.69
Dr. J.V. Srujan - General Medicine And Diabetes Clinic,Visakhapatnam,Andhra Pradesh,Doctor,83.24
Asian Super Speciality Ent Hospital,Visakhapatnam,Andhra Pradesh,General hospital,2353.17
Advanced Centre For Endocrinology & Diabetes [Ace] - Best Diabetes & Thyroid Superspecialist Dr K V Ravi Teja Md Dm,Visakhapatnam,Andhra Pradesh,Hospital,946.17
Narendra Poly Clinic,Visakhapatnam,Andhra Pradesh,Medical clinic,134.46
King'S Gynecology,Visakhapatnam,Andhra Pradesh,Women's health clinic,52.88
Apple Multi Speciality Dental Clinic,Visakhapatnam,Andhra Pradesh,Dental clinic,37.41
Dr Ram'S Heart & Multispeciality Clinic Dr V Rama Narasimham Md[Best Physician In Vizag] Dr V. Sriram Md,beside s3 sports arena,Visakhapatnam,+91 94931 27093,61.82
Royal Dental Clinic,Visakhapatnam,Andhra Pradesh,Dental clinic,59.7
Dr. Gopal'S Skincare Clinic,Visakhapatnam,Andhra Pradesh,Skin care clinic,22.81
Suresh Kumar Korada,212.0,"mvp double rd, opposite to ttd kalyana mandapam",http://sureshkumarneurologistanayamedicalcentre.com/,217.23
Health Care Piles Hospital Vizag,Visakhapatnam,Andhra Pradesh,Hospital,1266.24
Hcg Cancer Hospital - (Chinnagadili,"pinnacle hospital compound, apiic health city",Visakhapatnam,+91 63588 88812,142.92
